259,Brandon,Graham,13333333,14,26
260,Josh,Sweat,13333333,14,26
261,T.J.,Watt,28002750,16,27
262,Minkah,Fitzpatrick,18403059,13,27
263,Diontae,Johnson,18355000,4,27
264,Cameron,Heyward,16400000,15,27
265,Chuks,Okorafor,9750000,10,27
266,James,Daniels,8833333,7,27
267,Myles,Jack,8000000,17,27
268,Larry,Ogunjobi,8000000,15,27
269,Mitchell,Trubisky,7142500,1,27
270,Mason,Cole,5250000,8,27
271,Deebo,Samuel,23850000,4,28
272,Trent,Williams,23010000,6,28
273,Fred,Warner,19045000,18,28
274,Arik,Armstead,17000000,14,28
275,Christian,McCaffrey,16015875,2,28
276,George,Kittle,15000000,5,28
277,Charvarius,Ward,13500000,11,28
278,Jimmie,Ward,9500000,13,28
279,Trey,Lance,8526319,1,28
280,Nick,Bosa,8387966,14,28
281,D.K.,Metcalf,24000000,4,29
282,Jamal,Adams,17645000,12,29
283,Tyler,Lockett,17250000,4,29
284,Quandre,Diggs,13000000,12,29
285,Uchenna,Nwosu,9527500,18,29
286,Shelby,Harris,9000000,15,29
287,Will,Dissly,8000000,5,29
288,Gabe,Jackson,7525000,9,29
289,Poona,Ford,6172500,14,29
290,Rashaad,Penny,5750000,2,29
291,Chris,Godwin,20000000,4,30
292,Vita,Vea,17750000,15,30
293,Shaquil,Barrett,17000000,16,30
294,Mike,Evans,16500000,4,30
295,Donovan,Smith,15500000,6,30
296,Tom,Brady,15000000,1,30
297,Carlton,Davis,14833333,11,30
298,Ryan,Jensen,13000000,8,30
299,Lavonte,David,12500000,17,30
300,Russell,Gage,10000000,4,30
301,Ryan,Tannehill,29500000,1,31
302,Harold,Landry,17500000,16,31
303,Bud,Dupree,16500000,16,31
304,Robert,Woods,16250000,4,31
305,Taylor,Lewan,16000000,6,31
306,Zach,Cunningham,14500000,17,31
307,Kevin,Byard,14100000,13,31
308,Derrick,Henry,12500000,2,31
309,Amani,Hooker,10000000,12,31
310,Denico,Autry,7166667,14,31
311,Terry,McLaurin,22788000,4,32
312,Jonathan,Allen,18000000,15,32
313,William,Jackson,13500000,11,32
314,Charles,Leno,12333333,6,32
315,Curtis,Samuel,11500000,4,32
316,Chase,Roullier,10125000,8,32
317,Kendall,Fuller,10000000,11,32
318,Chase,Young,8640899,14,32
319,Logan,Thomas,8021667,5,32
320,Andrew,Norwell,5000000,9,32
